PASS | 公网页面打开 | HTTP 200
PASS | 排盘表单打开 | 七政四余排盘表单（姓名/性别/公历农历四柱/日期时刻/出生地/星制/命宫定法/童限）
PASS | 表单-出生年 | 已选 1990
PASS | 表单-出生月 | 已选 6
PASS | 表单-出生日 | 已选 15
PASS | 表单-出生时 | 已选 10
PASS | 排盘成功 | 盘面已渲染（七政四余星盘）
PASS | 专业五圈层 | SVG文本元素 144 个（命理核心/十二地支/星曜/二十八宿/十二人事宫五圈层）
PASS | 缩放/全屏/复位/导出 控件 | 星盘标题栏右侧：− ＋ 复位 全屏 导出
PASS | 缩放功能 | 当前 星盘 · 125%（可拖动查看）
PASS | 全屏功能 | 盘面全屏模式（fixed inset-0 深色底）
PASS | 12项专业图层开关 | 展开面板可见：守1/冲1/三方1/拱2/夹1/同经0/同络0/顶星0/顶度0/神煞3/化曜2/大限0
PASS | 图层开启生效 | 感应图层已开 4/12 · 连线 3
PASS | 流年年份选择 | 已选2026年（丙午年立春交节天象落盘）
PASS | 流年干支与立春 | 丙午年·立春2月4日
PASS | 流年神煞 | 流年模式面板内（流年干支起，落本命盘宫）
PASS | 流年化曜 | 流年模式面板内（流年干起，卷一§1.6 十干化曜）
PASS | 原局/流年叠加 | 原流相并表（本命盘 → 流年盘，十一曜对照）
PASS | 星曜明细表 | 列：星曜/本命/流年/移度/星曜/宫/度/宿度/人事宫/化曜/状态/人事宫/限宫/虚岁/管限
PASS | 化曜列 | 十一曜明细表第5列（年干起十干化曜）
PASS | 高清导出 | 导出星盘（高清PNG）配置面板（可配置字段+隐私隐藏，矢量SVG→2x高清PNG）
PASS | 导出PNG执行 | 页面提示"星盘已导出（高清PNG）"
PASS | 历史Profile恢复 | 历史盘标识=true 口径复现=true 当时引擎=true
